IMAGEM_REF	IMAGEM_A_SER_NORMALIZADA
0.0415483024	51
0.04721398	82
0.028328388	48
0.0396597432	52
0.0264398288	43
0.0264398288	45
0.0302169472	44
0.0396597432	47
0.0453254208	51
0.0396597432	54
0.037771184	50
0.0434368616	50
0.0302169472	47
0.0226627104	43
0.0358826248	49
0.0358826248	47
0.0245512696	45
0.018885592	43
0.0302169472	48
0.037771184	52
0.0321055064	48
0.0415483024	50
0.0264398288	48
0.0264398288	44
0.0415483024	53
0.0736538088	67
0.075542368	71
0.0321055064	47
0.0358826248	48
0.0415483024	52
0.0396597432	50
0.0434368616	56
0.0434368616	53
0.037771184	52
0.037771184	50
0.028328388	48
0.0207741512	45
0.0169970328	40
0.1170906704	84
0.1284220256	65
0.1208677888	100
0.1246449072	97
0.103870756	80
0.1491961768	99
0.1378648216	69
0.075542368	85
0.1567504136	96
0.0623224536	67
0.0623224536	62
0.0623224536	64

