data,hora,t1,t2,x,y,z
01/08/2011,11:09:57.00,4,7,291449.835,7606724.003,-0.399
01/08/2011,11:09:58.00,4,7,291449.833,7606724.006,-0.395
01/08/2011,11:09:59.00,4,8,291449.843,7606723.996,-0.395
01/08/2011,11:10:00.00,4,8,291449.843,7606723.994,-0.399
01/08/2011,11:10:01.00,4,8,291449.841,7606723.995,-0.391
01/08/2011,11:10:02.00,4,8,291449.849,7606723.996,-0.389
01/08/2011,11:10:03.00,4,8,291449.848,7606724.007,-0.392
01/08/2011,11:10:04.00,4,8,291449.845,7606724.006,-0.389
01/08/2011,11:10:05.00,4,8,291449.846,7606724.008,-0.390
01/08/2011,11:10:06.00,4,8,291449.841,7606724.002,-0.385
01/08/2011,11:10:07.00,4,8,291449.838,7606723.995,-0.393
01/08/2011,11:10:08.00,4,8,291449.850,7606723.979,-0.387
01/08/2011,11:10:09.00,4,8,291449.855,7606723.989,-0.386
01/08/2011,11:10:10.00,4,8,291449.854,7606724.000,-0.392
01/08/2011,11:10:11.00,4,8,291449.847,7606724.002,-0.386
01/08/2011,11:10:12.00,4,8,291449.841,7606724.023,-0.391
01/08/2011,11:10:13.00,4,8,291449.825,7606724.043,-0.381
01/08/2011,11:10:14.00,4,8,291449.856,7606724.028,-0.386
01/08/2011,11:10:15.00,4,8,291449.847,7606724.036,-0.381
01/08/2011,11:10:16.00,4,8,291449.845,7606724.037,-0.389
01/08/2011,11:10:17.00,4,8,291449.846,7606724.030,-0.388
01/08/2011,11:10:18.00,4,8,291449.840,7606724.043,-0.379
01/08/2011,11:10:19.00,4,8,291449.838,7606724.032,-0.390
01/08/2011,11:10:20.00,4,8,291449.821,7606724.046,-0.396
01/08/2011,11:10:21.00,4,8,291449.796,7606724.070,-0.386
01/08/2011,11:10:22.00,4,8,291449.826,7606724.066,-0.387
01/08/2011,11:10:23.00,4,8,291449.842,7606724.067,-0.390
01/08/2011,11:10:24.00,4,8,291449.834,7606724.073,-0.391
01/08/2011,11:10:25.00,4,8,291449.832,7606724.073,-0.386
01/08/2011,11:10:26.00,4,8,291449.829,7606724.053,-0.399
01/08/2011,11:10:27.00,4,8,291449.845,7606724.055,-0.396
01/08/2011,11:10:28.00,4,8,291449.845,7606724.068,-0.393
01/08/2011,11:10:29.00,4,8,291449.824,7606724.056,-0.398
01/08/2011,11:10:30.00,4,8,291449.826,7606724.025,-0.390
01/08/2011,11:10:31.00,4,8,291449.834,7606723.999,-0.377
01/08/2011,11:10:32.00,4,8,291449.860,7606723.973,-0.394
01/08/2011,11:10:33.00,4,8,291449.832,7606724.032,-0.395
01/08/2011,11:10:34.00,4,8,291449.864,7606723.999,-0.397
01/08/2011,11:10:35.00,4,8,291449.893,7606723.998,-0.397
01/08/2011,11:10:36.00,4,8,291449.913,7606723.971,-0.397
01/08/2011,11:10:37.00,4,8,291449.937,7606723.967,-0.395
01/08/2011,11:10:38.00,4,8,291449.913,7606723.979,-0.396
01/08/2011,11:10:39.00,4,8,291449.919,7606723.968,-0.399
01/08/2011,11:10:40.00,4,8,291449.920,7606723.964,-0.401
01/08/2011,11:10:41.00,4,8,291449.906,7606723.965,-0.395
01/08/2011,11:10:42.00,4,8,291449.915,7606723.948,-0.400
01/08/2011,11:10:43.00,4,8,291449.908,7606723.941,-0.396
01/08/2011,11:10:44.00,4,8,291449.849,7606723.945,-0.383
01/08/2011,11:10:45.00,4,8,291449.784,7606723.860,-0.360
01/08/2011,11:10:46.00,4,8,291449.674,7606723.593,-0.395
01/08/2011,11:10:47.00,4,8,291449.742,7606723.649,-0.743
01/08/2011,11:10:48.00,4,8,291449.825,7606723.622,-0.796
01/08/2011,11:10:49.00,4,8,291449.797,7606723.657,-0.798
01/08/2011,11:10:50.00,4,8,291449.819,7606723.640,-0.794
01/08/2011,11:10:51.00,4,8,291449.863,7606723.589,-0.748
01/08/2011,11:10:52.00,4,8,291450.308,7606723.139,-0.681
01/08/2011,11:10:53.00,4,8,291451.239,7606722.803,-0.711
01/08/2011,11:10:54.00,4,8,291452.213,7606722.318,-0.687
01/08/2011,11:10:55.00,4,8,291453.239,7606721.666,-0.710
01/08/2011,11:10:56.00,4,8,291454.521,7606721.455,-0.665
01/08/2011,11:10:57.00,4,8,291455.949,7606721.424,-0.608
01/08/2011,11:10:58.00,4,8,291457.399,7606721.329,-0.579
01/08/2011,11:10:59.00,4,8,291458.832,7606721.148,-0.558
01/08/2011,11:11:00.00,4,8,291460.193,7606720.902,-0.511
01/08/2011,11:11:01.00,4,8,291461.573,7606720.607,-0.504
01/08/2011,11:11:02.00,4,8,291462.906,7606720.401,-0.487
01/08/2011,11:11:03.00,4,8,291464.235,7606720.118,-0.463
01/08/2011,11:11:04.00,4,8,291465.570,7606719.779,-0.414
01/08/2011,11:11:05.00,4,8,291466.914,7606719.461,-0.378
01/08/2011,11:11:06.00,4,8,291468.286,7606719.116,-0.296
01/08/2011,11:11:07.00,4,8,291469.690,7606718.805,-0.259
01/08/2011,11:11:08.00,4,8,291471.042,7606718.462,-0.223
01/08/2011,11:11:09.00,4,8,291472.422,7606718.251,-0.249
01/08/2011,11:11:10.00,4,8,291473.443,7606717.883,-0.338
01/08/2011,11:11:11.00,4,8,291474.398,7606717.705,-0.515
01/08/2011,11:11:12.00,4,8,291475.152,7606717.947,-0.450
01/08/2011,11:11:13.00,4,7,291475.893,7606718.368,-0.260
01/08/2011,11:11:14.00,9,8,291476.839,7606718.527,-0.629
01/08/2011,11:11:15.00,9,7,291477.579,7606718.066,-0.550
01/08/2011,11:11:16.00,4,7,291478.090,7606717.582,-0.248
01/08/2011,11:11:17.00,4,8,291478.208,7606717.496,-0.336
01/08/2011,11:11:18.00,4,8,291478.285,7606717.422,-0.330
01/08/2011,11:11:19.00,4,8,291478.279,7606717.370,-0.330
01/08/2011,11:11:20.00,4,8,291478.330,7606717.377,-0.333
01/08/2011,11:11:21.00,4,8,291478.401,7606717.359,-0.299
01/08/2011,11:11:22.00,4,8,291478.497,7606717.194,-0.223
01/08/2011,11:11:23.00,4,8,291479.255,7606716.943,-0.093
01/08/2011,11:11:24.00,4,8,291480.387,7606716.672,0.022
01/08/2011,11:11:25.00,4,8,291481.571,7606716.391,0.091
01/08/2011,11:11:26.00,4,8,291482.677,7606716.294,0.197
01/08/2011,11:11:27.00,4,8,291483.704,7606715.951,0.349
01/08/2011,11:11:28.00,4,8,291484.695,7606715.656,0.472
01/08/2011,11:11:29.00,4,8,291485.697,7606715.384,0.564
01/08/2011,11:11:30.00,4,8,291486.700,7606715.065,0.605
01/08/2011,11:11:31.00,4,8,291487.552,7606714.964,0.516
01/08/2011,11:11:32.00,4,8,291487.869,7606714.919,0.412
01/08/2011,11:11:33.00,4,8,291487.955,7606714.942,0.421
01/08/2011,11:11:34.00,4,8,291487.993,7606714.968,0.407
01/08/2011,11:11:35.00,4,8,291488.029,7606714.963,0.426
01/08/2011,11:11:36.00,4,8,291488.694,7606714.786,0.542
01/08/2011,11:11:37.00,4,8,291489.725,7606714.453,0.578
01/08/2011,11:11:38.00,4,8,291490.935,7606714.304,0.566
01/08/2011,11:11:39.00,4,8,291492.085,7606714.035,0.532
01/08/2011,11:11:40.00,4,8,291493.264,7606713.768,0.496
01/08/2011,11:11:41.00,4,8,291494.420,7606713.363,0.448
01/08/2011,11:11:42.00,4,8,291495.653,7606713.009,0.409
01/08/2011,11:11:43.00,4,8,291496.660,7606712.678,0.435
01/08/2011,11:11:44.00,4,8,291497.558,7606712.720,0.419
01/08/2011,11:11:45.00,4,8,291497.964,7606713.157,0.168
01/08/2011,11:11:46.00,4,7,291497.878,7606713.139,0.266
01/08/2011,11:11:47.00,4,7,291497.899,7606713.123,0.263
01/08/2011,11:11:48.00,4,7,291497.935,7606713.215,0.275
01/08/2011,11:11:49.00,4,7,291497.923,7606713.134,0.255
01/08/2011,11:11:50.00,4,8,291497.923,7606713.147,0.264
